04/11/21 9:01:45: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:45: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:46: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:47: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:49: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:50: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:51: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:51: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:52: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:52: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:53: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:07: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:11: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:17: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:17: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:18: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:18: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:19: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:23: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:23: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:23: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:23: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:24: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:27: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:30: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:30: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:30: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:31: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:41:31: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 6:56:19: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 6:56:19: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 6:56:27: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 6:56:35: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 6:56:36: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 6:57:35: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 6:58:35: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 6:59:35: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:00:35: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:01:35: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
04/27/21 7:02:36: editor-style.scss - Undefined mixin content: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/editor-style.scss on line 11, at column 3
